Trials,Start Position,End Position,Card Number
1,1,5,JC
1,2,8,6S
1,3,6,QD
1,4,1,QH
1,5,14,KH
1,6,38,KS
1,7,44,10H
1,8,20,6H
1,9,41,9D
1,10,2,8S
1,11,31,10S
1,12,3,4D
1,13,15,2H
1,14,48,8C
1,15,36,5S
1,16,37,9S
1,17,13,KC
1,18,50,3C
1,19,33,JS
1,20,4,JD
1,21,16,7D
1,22,25,9H
1,23,30,8H
1,24,12,10D
1,25,19,7H
1,26,7,2S
1,27,11,2C
1,28,39,AH
1,29,26,AC
1,30,51,5H
1,31,9,10C
1,32,42,4C
1,33,43,JH
1,34,18,3H
1,35,24,8D
1,36,29,4H
1,37,10,6C
1,38,35,AS
1,39,27,7C
1,40,45,AD
1,41,34,3D
1,42,21,KD
1,43,49,9C
1,44,32,3S
1,45,47,QS
1,46,28,QC
1,47,17,5D
1,48,52,7S
1,49,22,6D
1,50,40,5C
1,51,46,4S
1,52,23,2D
2,1,12,QH
2,2,3,8S
2,3,29,4D
2,4,4,JD
2,5,18,JC
2,6,33,QD
2,7,24,2S
2,8,20,6S
2,9,45,10C
2,10,32,6C
2,11,10,2C
2,12,28,10D
2,13,1,KC
2,14,25,KH
2,15,34,2H
2,16,48,7D
2,17,9,5D
2,18,5,3H
2,19,2,7H
2,20,8,6H
2,21,14,KD
2,22,11,6D
2,23,37,2D
2,24,16,8D
2,25,35,9H
2,26,22,AC
2,27,38,7C
2,28,23,QC
2,29,17,4H
2,30,19,8H
2,31,31,10S
2,32,52,3S
2,33,40,JS
2,34,44,3D
2,35,15,AS
2,36,30,5S
2,37,39,9S
2,38,36,KS
2,39,21,AH
2,40,46,5C
2,41,43,9D
2,42,6,4C
2,43,47,JH
2,44,26,10H
2,45,27,AD
2,46,51,4S
2,47,49,QS
2,48,50,8C
2,49,13,9C
2,50,7,3C
2,51,41,5H
2,52,42,7S
3,1,29,KC
3,2,50,7H
3,3,19,8S
3,4,33,JD
3,5,5,3H
3,6,20,4C
3,7,22,3C
3,8,3,6H
3,9,18,5D
3,10,10,2C
3,11,14,6D
3,12,2,QH
3,13,26,9C
3,14,13,KD
3,15,15,AS
3,16,51,8D
3,17,30,4H
3,18,48,JC
